Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	SUPERFAMILY	SSF46774	ARID-like	46	159	1.03E-34	T	25-11-2020	IPR036431	ARID DNA-binding domain superfamily	GO:0003677
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	CDD	cd16884	ARID_ARID5A	60	142	3.74876E-57	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	PANTHER	PTHR13964:SF25	AT-RICH INTERACTIVE DOMAIN-CONTAINING PROTEIN 5A	22	684	1.5E-88	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	MobiDBLite	mobidb-lite	consensus disorder prediction	455	474	-	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	MobiDBLite	mobidb-lite	consensus disorder prediction	443	474	-	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	Gene3D	G3DSA:1.10.150.60	-	54	160	1.1E-41	T	25-11-2020	IPR036431	ARID DNA-binding domain superfamily	GO:0003677
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	ProSiteProfiles	PS51011	ARID domain profile.	54	146	29.225	T	25-11-2020	IPR001606	ARID DNA-binding domain	GO:0003677
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	MobiDBLite	mobidb-lite	consensus disorder prediction	37	58	-	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	MobiDBLite	mobidb-lite	consensus disorder prediction	149	193	-	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	MobiDBLite	mobidb-lite	consensus disorder prediction	325	340	-	T	25-11-2020
Acipenser_ruthenus_NW_023261183.1_prot_XP_033852536.2_62194	a1a3c74c0790b27bed1248c6efa91b5a	696	MobiDBLite	mobidb-lite	consensus disorder prediction	256	273	-	T	25-11-2020
